region,f,spearman_rho,kendall_tau,top1_unchanged,top5_overlap_pct,top10_overlap_pct,top20_overlap_pct,optimal_policy
ES,0.5,0.9987092011098011,0.9801033591731265,False,100.0,100.0,100.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
ES,0.6000000000000001,0.9982257469129185,0.9751937984496123,False,100.0,90.0,100.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
ES,0.7000000000000001,0.9976196430059895,0.9681309216192936,False,100.0,90.0,100.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
ES,0.8,0.9950928208242535,0.9509043927648577,False,100.0,100.0,100.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
ES,0.9,0.9878945926957929,0.915934539190353,True,100.0,100.0,95.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-No_Measure
ES,1.0,-0.49516254102154983,-0.3440350641626025,False,0.0,0.0,0.0,No_Measure-No_Measure-No_Measure
US-NY,0.0,0.9999999999999999,0.9999999999999998,True,100.0,100.0,100.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-No_Measure
US-NY,0.1,0.9997308851022279,0.9911283376399654,False,80.0,90.0,95.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
US-NY,0.2,0.9995617952107073,0.987080103359173,False,80.0,90.0,95.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
US-NY,0.30000000000000004,0.9991462151252097,0.9813953488372091,False,80.0,90.0,95.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
US-NY,0.4,0.9990021314852521,0.9782945736434108,False,80.0,90.0,95.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
US-NY,0.5,0.9979399611807712,0.9666666666666666,False,80.0,90.0,90.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
US-NY,0.6000000000000001,0.9962597792305218,0.9535745047372952,False,80.0,90.0,90.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
US-NY,0.7000000000000001,0.9897069505471604,0.9240310077519378,False,80.0,90.0,85.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
US-NY,0.8,0.9699520118124768,0.8627045650301463,False,80.0,90.0,80.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others
US-NY,0.9,0.810952738184546,0.6171403962101636,False,40.0,60.0,50.0,Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-No_Measure
US-NY,1.0,-0.6726668733183647,-0.4854028586448204,False,0.0,0.0,0.0,No_Measure-No_Measure-No_Measure
