policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",33818610556.585907,373502152365.0319,4798904151.785295,42554169494.3831,329447,9645814,420855226011.2003,33818610556.585907,454673836567.78625
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",37253082008.2952,360711794663.43256,4490921938.6029415,41446577515.3831,318185,9180869,406649294117.41864,37253082008.2952,443902376125.71387
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",46976923394.74696,317141961324.3188,3436596279.964706,37730007242.98311,279701,7620727,358308564847.2666,46976923394.74696,405285488242.01355
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",38392889410.19501,347256309177.0536,4166044462.2558823,40281829411.78311,306322,8691931,391704183051.0925,38392889410.19501,430097072461.28754
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",49589683449.57768,322182825203.29663,3557006545.4205885,38003295609.183105,284118,7735448,363743127357.9003,49589683449.57768,413332810807.478
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",53869529965.12933,300759348498.0792,3039692312.038235,36186746616.98311,265239,6972897,339985787427.1005,53869529965.12933,393855317392.22986
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",35335989806.796234,324624946966.1751,3611335097.211765,40143997701.98311,286378,8634072,368380279765.37,35335989806.796234,403716269572.16626
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",38585033810.37966,311039938232.56195,3279654432.7411766,38910415929.38311,274284,8116239,353230008594.6862,38585033810.37966,391815042405.06586
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",48474398855.3829,271156847666.77844,2317454355.6205883,35306311701.183105,239209,6603308,308780613723.58215,48474398855.3829,357255012578.965
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",39635079573.96988,297563974601.4191,2953474995.1970587,37684678741.3831,262396,7601699,338202128337.9993,39635079573.96988,377837207911.96924
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",50395848443.96205,268962691075.64716,2264532935.8441176,35109885017.98311,237279,6520852,306337109029.47437,50395848443.96205,356732957473.4364
No_Measure-Restrict_Mass_Gatherings-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",54884654948.70409,250162626226.64236,1809273016.511765,33435315145.78311,220689,5817901,285407214388.93726,54884654948.70409,340291869337.64136
No_Measure-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",39236673754.88565,192010554730.7158,390291183.82647085,32470848124.98311,169391,5413037,224871694039.5254,39236673754.88565,264108367794.41104
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",42521332113.67372,180309719798.65247,104622385.27941203,31261464739.98311,159037,4905362,211675806923.91498,42521332113.67372,254197139037.58868
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",53412158943.11242,151616239362.2099,-592326495.6411765,28337809737.58311,133764,3678070,179361722604.15182,53412158943.11242,232773881547.26425
No_Measure-Restrict_Mass_Gatherings_and_Schools-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",43760283317.15617,169638144226.71747,-155084926.7147057,30164080487.98311,149624,4444702,199647139787.9859,43760283317.15617,243407423105.1421
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",55430540021.97927,150318335169.57202,-623822877.670588,28207243737.78311,132622,3623261,177901756029.68454,55430540021.97927,233332296051.66382
No_Measure-Restrict_Mass_Gatherings_and_Schools-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Lockdown']",60869504426.56244,139910272847.5039,3418036266.0411763,27178264358.78311,123434,3191316,170506573472.3282,60869504426.56244,231376077898.89062
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-No_Measure,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'No_Measure']",34657982038.30305,279003923494.786,2499613014.173529,37744124160.183105,246036,7626653,319247660669.14264,34657982038.30305,353905642707.4457
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings']",37716960102.725395,264219365466.63297,2141895851.5588236,36381400943.3831,233009,7054609,302742662261.5749,37716960102.725395,340459622364.3003
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",47556735716.73687,225374576714.90863,1201723798.067647,32743602878.38311,198790,5527534,259319903391.3594,47556735716.73687,306876639108.09625
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",38586574525.31384,249623991263.47906,1787777884.5147057,35033068596.78311,220121,6488606,286444837744.77686,38586574525.31384,325031412270.0907
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",49476814443.64197,223204452827.79208,1149325923.4441175,32546244754.98311,196883,5444687,256900023506.2193,49476814443.64197,306376837949.86127
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Lockdown,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Lockdown']",54264994699.340195,207444943069.97946,766714888.4235296,31075086176.38311,182956,4827124,239286744134.7861,54264994699.340195,293551738834.1263
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'No_Measure']",40303080805.14627,179591175747.38422,87864789.60294127,31693457652.38311,158442,5086704,211372498189.37027,40303080805.14627,251675578994.51654
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings']",43684050085.12661,168773196034.5182,-176608060.2441175,30549513301.38311,148865,4606499,199146101275.6572,43684050085.12661,242830151360.7838
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",54745894537.93325,141587592391.40234,3454929966.285294,27742057250.583107,124822,3427985,172784579608.27075,54745894537.93325,227530474146.204
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",44999759024.23567,158750098853.45004,-420103201.7617645,29504282553.98311,140048,4167732,187834278205.6714,44999759024.23567,232834037229.90704
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",56764822559.05368,140280299783.54547,3423213308.388235,27611862873.98311,123671,3373332,171315375965.9168,56764822559.05368,228080198524.9705
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Lockdown']",62183343243.88904,129466464096.62766,3161127304.3117647,26568992886.78311,114152,2935556,159196584287.72253,62183343243.88904,221379927531.61157
No_Measure-Lockdown-No_Measure,"['No_Measure', 'Lockdown', 'No_Measure']",41458277780.32425,123331103681.76907,3014165520.5,27753846758.38311,108822,3432934,154099115960.6522,41458277780.32425,195557393740.97644
No_Measure-Lockdown-Restrict_Mass_Gatherings,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings']",45240271431.5057,115613430011.95164,2823765816.017647,26882380825.583107,101952,3067110,145319576653.5524,45240271431.5057,190559848085.0581
No_Measure-Lockdown-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools']",57768797633.94348,99134314174.57687,2421473508.464706,25071470500.78311,87423,2306926,126627258183.82469,57768797633.94348,184396055817.7682
