policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",53189993919.59481,754007463115.3757,5710259670.094118,55716172295.583115,665073,15170960,815433895081.053,53189993919.59481,868623889000.6478
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",58142840175.97926,752953069592.9596,5685364405.558823,55640249199.3831,664165,15139089,814278683197.9015,58142840175.97926,872421523373.8807
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",72962489948.48663,749480200316.965,5601484442.482353,55386056548.3831,661094,15032384,810467741307.8303,72962489948.48663,883430231256.3169
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",60886601315.03993,752067528534.5118,5661203136.758823,55565317098.3831,663279,15107634,813294048769.6537,60886601315.03993,874180650084.6936
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",75149045252.21078,749360534786.5966,5596047775.3529415,55369757535.98311,660895,15025542,810326340097.9326,75149045252.21078,885475385350.1434
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",81877825708.1919,747193390284.5406,5545088499.902941,55217151421.78311,659029,14961481,807955630206.2267,81877825708.1919,889833455914.4186
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",57644077925.270424,740962102771.033,5379159103.94706,55301362191.7831,653495,14996831,801642624066.7631,57644077925.270424,859286701992.0334
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",62544116205.86317,739264326131.7365,5340991747.791178,55189558399.183105,652089,14949898,799794876278.7107,62544116205.86317,862338992484.5739
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",77290998116.36305,735202216927.6871,5241992216.32647,54885923187.183105,648469,14822438,795330132331.1967,77290998116.36305,872621130447.5597
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",65228204542.64162,737646932521.66,5301329032.908823,55074081254.183105,650636,14901423,798022342808.752,65228204542.64162,863250547351.3936
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",79472690542.4864,734890481152.0455,5235520308.25,54866320063.3831,648232,14814209,794992321523.6786,79472690542.4864,874465012066.165
No_Measure-Restrict_Mass_Gatherings-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings', 'Lockdown']",86196516963.82446,732933646195.637,5186406618.755882,54710347900.583115,646433,14748735,792830400714.976,86196516963.82446,879026917678.8004
No_Measure-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",70344694599.34279,687536581154.2771,8335160327.052941,53607379771.78311,606403,14285731,749479121253.1132,70344694599.34279,819823815852.4559
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",75121358835.31102,684848704964.3851,8270406848.876471,53411748743.3831,604036,14203609,746530860556.6447,75121358835.31102,821652219391.9557
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",89426591888.12071,676705066721.0044,8075653327.214705,52808032561.78311,596897,13950181,737588752610.0022,89426591888.12071,827015344498.1229
No_Measure-Restrict_Mass_Gatherings_and_Schools-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",77681270244.28502,682114153544.445,8204935989.355883,53211898838.78311,601636,14119716,743530988372.5839,77681270244.28502,821212258616.8689
No_Measure-Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",91589614650.78033,676360962745.5013,8065623801.394117,52775744222.98311,596531,13936627,737202330769.8787,91589614650.78033,828791945420.6589
No_Measure-Restrict_Mass_Gatherings_and_Schools-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools', 'Lockdown']",98039815679.56177,671784049717.0089,7956221535.461765,52433855643.3831,592531,13793109,732174126895.8538,98039815679.56177,830213942575.4155
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-No_Measure,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'No_Measure']",59707628720.99525,724592759866.0448,4970147248.902941,54764257086.5831,639097,14771365,784327164201.5309,59707628720.99525,844034792922.5261
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings']",64616628440.05058,723267769503.911,4937019695.120587,54658542197.183105,637883,14726988,782863331396.2147,64616628440.05058,847479959836.2653
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",79315582782.55998,718877946395.0042,4831783447.479413,54322342311.183105,634037,14585858,778032072153.6666,79315582782.55998,857347654936.2266
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",67311294499.771774,721764780588.9362,4902981182.817648,54550252149.583115,636642,14681530,781218013921.3369,67311294499.771774,848529308421.1086
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",81496044588.61276,718567776684.6862,4825405135.288236,54301903035.183105,633803,14577278,777695084855.1575,81496044588.61276,859191129443.7703
No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others-Lockdown,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Lockdown']",88170653219.2083,716129375837.5658,4766395473.45,54112489548.7831,631644,14497766,775008260859.7988,88170653219.2083,863178914079.0071
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'No_Measure']",72387779236.66325,683902497544.8553,8243427897.252941,53493598753.183105,603168,14237968,745639524195.2914,72387779236.66325,818027303431.9546
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings']",77152351140.37112,681080940749.6869,8175925103.75,53289751516.98311,600699,14152397,742546617370.42,77152351140.37112,819698968510.7911
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",91425763373.3504,672761738081.882,7974210369.74706,52664414488.183105,593322,13889893,733400362939.8121,91425763373.3504,824826126313.1626
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",79699297213.10309,678206871599.2438,8107465580.929413,53081092236.78311,598193,14064806,739395429416.9563,79699297213.10309,819094726630.0593
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",93571185814.77286,672047837158.4761,7959731815.464705,52620167505.3831,592778,13871319,732627736479.3239,93571185814.77286,826198922294.0967
No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others-Lockdown,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Lockdown']",100008337362.35016,667497958198.4891,7848029828.055883,52269412377.3831,588694,13724079,727615400403.9281,100008337362.35016,827623737766.2783
