policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
No_Measure-No_Measure-No_Measure,"['No_Measure', 'No_Measure', 'No_Measure']",107354947.46660681,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,107354947.46660681,22977585557.31332
No_Measure-No_Measure-Restrict_Mass_Gatherings,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings']",5171942207.466606,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,5171942207.466606,28042172817.31332
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",20365703987.466602,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,20365703987.466602,43235934597.31332
No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",8025985837.466608,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,8025985837.466608,30896216447.313324
No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['No_Measure', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",22576247617.466606,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,22576247617.466606,45446478227.313324
No_Measure-No_Measure-Lockdown,"['No_Measure', 'No_Measure', 'Lockdown']",29529628507.466606,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,29529628507.466606,52399859117.313324
No_Measure-Restrict_Mass_Gatherings-No_Measure,"['No_Measure', 'Restrict_Mass_Gatherings', 'No_Measure']",5171942207.466606,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,5171942207.466606,28042172817.31332
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",10236529467.466604,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,10236529467.466604,33106760077.313316
No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['No_Measure', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",25430291247.466602,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,25430291247.466602,48300521857.31332
No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['No_Measure', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",13090573097.466606,2110213077.5261252,35395248.32058823,20724622284.0,1845,30620,22870230609.846714,13090573097.466606,35960803707.313324
