region_id,region,decay_rate,rho_cases,p_cases,rho_deaths,p_deaths,n_valid
Brazil__None,Brazil,0.05,0.999938741014853,0.0,0.9999470674788536,0.0,343
Brazil__None,Brazil,0.1,0.9998290101142747,0.0,0.9998340654674179,0.0,343
Brazil__None,Brazil,0.15,0.9997169002239817,0.0,0.9997014367464568,0.0,343
Brazil__None,Brazil,0.2,0.9995741608411156,0.0,0.9995762424571156,0.0,343
Germany__None,Germany,0.05,0.9995349075108272,0.0,0.9996544517439778,0.0,343
Germany__None,Germany,0.1,0.9993285301530997,0.0,0.9997276056776968,0.0,343
Germany__None,Germany,0.15,0.9986713342444863,0.0,0.9991200711793722,0.0,343
Germany__None,Germany,0.2,0.9977301464387117,0.0,0.9986921504044876,0.0,343
Spain__None,Spain,0.05,0.9997875264495371,0.0,0.9997630669646952,0.0,343
Spain__None,Spain,0.1,0.9993749203595903,0.0,0.9994949840008907,0.0,343
Spain__None,Spain,0.15,0.9988868557611764,0.0,0.9990285523243957,0.0,343
Spain__None,Spain,0.2,0.9985985519237245,0.0,0.9989154019467584,0.0,343
US__New_York,New York (US),0.05,0.9991649746102321,0.0,0.9995272501025408,0.0,343
US__New_York,New York (US),0.1,0.9991099604730858,0.0,0.9992395410125616,0.0,343
US__New_York,New York (US),0.15,0.9988661140273559,0.0,0.9986236055586888,0.0,343
US__New_York,New York (US),0.2,0.9984108348707553,0.0,0.9988637346997573,0.0,343
