region,region_id,policy,n_days,mean_gamma,slope_per_day,slope_per_month,r_squared,p_value,intercept,std_err,pct_change_per_month
Germany,Germany__None,Mass_Gatherings_Authorized_But_Others_Restricted,5,0.25201655142419127,-0.02087071877210113,-0.6261215631630339,0.9914534306409218,0.000336196976142004,0.29375798896839356,0.001118758967719501,-248.44461985719084
Germany,Germany__None,Restrict_Mass_Gatherings_and_Schools_and_Others,60,0.08042853107496599,-0.0021375457598019495,-0.06412637279405849,0.836745182033504,1.6934424219753228e-24,0.1434861309891235,0.0001239760563003655,-79.7308765148122
Germany,Germany__None,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,28,0.3091612850831213,0.025159071575101204,0.7547721472530361,0.08023741744161868,0.14411011604992396,-0.030486181180744976,0.016705417526588825,244.13540235159383
Spain,Spain__None,Lockdown,73,0.11344261720683742,-0.0040788342703587084,-0.12236502811076125,0.5974067182335133,1.1362790445467436e-15,0.26028065093975095,0.00039737916768821255,-107.86513139736171
Spain,Spain__None,Mass_Gatherings_Authorized_But_Others_Restricted,5,0.034398157606124344,-0.00043923506722951536,-0.013177052016885462,0.9997722140969818,1.459179801862027e-06,0.03527662774058338,3.82780026942897e-06,-38.307435438168305
Spain,Spain__None,Restrict_Mass_Gatherings_and_Schools_and_Others,15,0.03056687089295535,-0.00034676805430121366,-0.01040304162903641,0.9981073757793848,4.344099733231343e-19,0.03299424727306385,4.188041435562315e-06,-34.033714688911665
Brazil,Brazil__None,Mass_Gatherings_Authorized_But_Others_Restricted,93,0.7546734739624019,-0.005947651270374382,-0.17842953811123144,0.9920715346563788,2.1678188058003968e-97,1.0282654323996234,5.5737549637925795e-05,-23.643276763709448
New York (US),US__New_York,Restrict_Mass_Gatherings_and_Schools_and_Others,22,0.15984200599271456,-0.01846169533760143,-0.5538508601280429,0.475252704491242,0.00038663698379259555,0.35368980703752956,0.004337798636948749,-346.4989423076227
New York (US),US__New_York,Lockdown,68,0.18044320951013926,-0.004074053087827571,-0.12222159263482713,0.8573662917458927,1.294837652469923e-29,0.3169239879523629,0.00020454204815296569,-67.73410480041333
