country,start_date,policy_length,policy,st_economic_costs,st_economic_costs_lb,st_economic_costs_ub,lt_economic_costs,d_costs,d_costs_lb,d_costs_ub,h_costs,h_costs_lb,h_costs_ub,mh_costs,mh_costs_lb,mh_costs_ub,num_cases,num_cases_lb,num_cases_ub,num_deaths,num_deaths_lb,num_deaths_ub,hospitalization_days,hospitalization_days_lb,hospitalization_days_ub,icu_days,icu_days_lb,icu_days_ub,ventilated_days,ventilated_days_lb,ventilated_days_ub
BR,2020-03-15,3,actual,27094568747.88475,27094568747.88475,27094568747.88475,0,194451963302.48077,,,1057496062.2439024,,,58438881495.226585,,,893160,,,44190,,,1432788.4705882352,,,52488.529411764706,,,297435,,
BR,2020-03-15,3,No_Measure-No_Measure-No_Measure,211400062.70957989,157472895.3179799,265327230.10117993,0,16358384346.490862,15112592003.423206,17604176689.558517,102701651.0487805,102701651.0487805,102701651.0487805,56594364541.31691,56549674373.936386,56639054708.69743,77473,57710.0,97236.0,3713,3457.0,3969.0,140101.23529411765,140101.23529411765,140101.23529411765,4954.764705882353,4954.764705882353,4954.764705882353,28077,28077.0,28077.0
BR,2020-03-15,3,No_Measure-No_Measure-Restrict_Mass_Gatherings,5708289216.993704,5524020552.623176,5892557881.364232,0,53138176960.00499,49075069253.64501,57201284666.36497,209906246.26829267,209906246.26829267,209906246.26829267,57017791609.66866,56865085694.41254,57170497524.92478,264722,197192.0,332252.0,12036,11207.0,12865.0,281719.35294117645,281719.35294117645,281719.35294117645,10820.64705882353,10820.64705882353,10820.64705882353,61317,61317.0,61317.0
BR,2020-03-15,3,No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools,20472775173.790516,20419622955.3206,20525927392.260433,0,16137520653.197968,14910991038.791264,17364050267.604668,101932276.97560975,101932276.97560975,101932276.97560975,56591845447.73487,56547797490.92643,56635893404.54331,76359,56880.0,95838.0,3663,3411.0,3915.0,139076.0,139076.0,139076.0,4914.0,4914.0,4914.0,27846,27846.0,27846.0
BR,2020-03-15,3,No_Measure-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,8441916844.851604,8395485398.191914,8488348291.511294,0,14220542532.864462,13141206494.328146,15299878571.40078,95044095.2195122,95044095.2195122,95044095.2195122,56570012549.58889,56531534186.57989,56608490912.5979,66704,49688.0,83720.0,3229,3007.0,3451.0,129936.94117647059,129936.94117647059,129936.94117647059,4543.058823529412,4543.058823529412,4543.058823529412,25744,25744.0,25744.0
BR,2020-03-15,3,No_Measure-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,22630522722.593372,22583720173.633156,22677325271.553585,0,14326543040.327423,13237624702.522131,15415461378.132713,95435010.80487806,95435010.80487806,95435010.80487806,56571217825.063965,56532431924.5979,56610003725.53002,67237,50085.0,84389.0,3253,3029.0,3477.0,130454.76470588235,130454.76470588235,130454.76470588235,4564.235294117648,4564.235294117648,4564.235294117648,25864,25864.0,25864.0
BR,2020-03-15,3,No_Measure-No_Measure-Lockdown,29811572858.957115,29761588653.508583,29861557064.405647,0,15236332345.782183,14078587925.90056,16394076765.663805,98727243.73170733,98727243.73170733,98727243.73170733,56581549726.838066,56540127144.938736,56622972308.7374,71806,53488.0,90124.0,3459,3221.0,3697.0,134827.11764705883,134827.11764705883,134827.11764705883,4740.882352941177,4740.882352941177,4740.882352941177,26865,26865.0,26865.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-No_Measure,7013652473.860737,6496387712.104492,7530917235.616981,0,151869349354.85782,140282042542.4702,163456656167.24542,797203822.3170732,797203822.3170732,797203822.3170732,58099563660.07418,57670899409.73319,58528227910.41516,743106,553541.0,932671.0,34425,32055.0,36795.0,1074172.6470588236,1074172.6470588236,1074172.6470588236,40461.352941176476,40461.352941176476,40461.352941176476,229281,229281.0,229281.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,18029796065.70342,15974238593.55339,20085353537.853447,0,586770183425.9309,541880169941.156,631660196910.7058,2102883825.658537,2102883825.658537,2102883825.658537,63096870955.419044,61393402890.36026,64800339020.47783,2953028,2199716.0,3706340.0,132848,123703.0,141993.0,2799842.588235294,2799842.588235294,2799842.588235294,111775.41176470589,111775.41176470589,111775.41176470589,633394,633394.0,633394.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,27238864211.494274,26731600110.998478,27746128311.99007,0,149020237150.41635,137653479465.28198,160386994835.55075,787207891.3170732,787207891.3170732,787207891.3170732,58067075493.563225,57646698925.42887,58487452061.69758,728739,542839.0,914639.0,33780,31455.0,36105.0,1060915.7647058824,1060915.7647058824,1060915.7647058824,39922.23529411765,39922.23529411765,39922.23529411765,226226,226226.0,226226.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,14892377918.572853,14472350145.63408,15312405691.511627,0,124113780549.84079,114651668495.14421,133575892604.53737,697598649.8048781,697598649.8048781,697598649.8048781,57783677465.58346,57435594812.90502,58131760118.261894,603414,449484.0,757344.0,28141,26204.0,30078.0,942000.8235294118,942000.8235294118,942000.8235294118,35100.17647058824,35100.17647058824,35100.17647058824,198901,198901.0,198901.0
BR,2020-03-15,3,No_Measure-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,29098529294.78793,28673655362.395252,29523403227.180603,0,125500535340.08273,115930728290.55742,135070342389.60806,702705466.6097562,702705466.6097562,702705466.6097562,57799422931.12364,57447324201.06486,58151521661.18243,610377,454671.0,766083.0,28455,26496.0,30414.0,948780.4117647059,948780.4117647059,948780.4117647059,35374.58823529412,35374.58823529412,35374.58823529412,200456,200456.0,200456.0
