month,period,actual_npi,actual_npi_short,recommended_npi,recommended_npi_short,recommended_total_cost,actual_total_cost,potential_savings,potential_savings_pct,ranking
1,2020-03-15 to 2020-04-15,Lockdown,Lock,Lockdown,Lock,2501210645761.27,2501210645761.27,0.0,,"[{'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 76506387237.4606, 'humanitarian_costs': 2424704258523.8096, 'total_costs': 2501210645761.27, 'num_cases': 136961, 'num_deaths': 15689, 'd_costs': 2406755192847.551, 'h_costs': 292121784.0, 'mh_costs': 17656943892.258896, 'full_vector': ['Lockdown', 'Lockdown', 'Lockdown']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+Oth', 'economic_costs': 59881605513.896255, 'humanitarian_costs': 14793616853251.467, 'total_costs': 14853498458765.363, 'num_cases': 1001749, 'num_deaths': 96302, 'd_costs': 14773058929092.234, 'h_costs': 1770529393.372549, 'mh_costs': 18787394765.8589, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 56313359379.66645, 'humanitarian_costs': 28588360800300.33, 'total_costs': 28644674159679.996, 'num_cases': 1995906, 'num_deaths': 186208, 'd_costs': 28564909289047.13, 'h_costs': 3364554456.9411764, 'mh_costs': 20086956796.258896, 'full_vector': ['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'Sch+MG+Oth', 'economic_costs': 37952019196.96434, 'humanitarian_costs': 125453778655283.62, 'total_costs': 125491730674480.6, 'num_cases': 7901432, 'num_deaths': 817512, 'd_costs': 125409283421203.45, 'h_costs': 16688573696.72549, 'mh_costs': 27806660383.458897, 'full_vector': ['Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 30884767625.60701, 'humanitarian_costs': 134486830932132.8, 'total_costs': 134517715699758.4, 'num_cases': 8318965, 'num_deaths': 876383, 'd_costs': 134440217110340.48, 'h_costs': 18261362271.2549, 'mh_costs': 28352459521.0589, 'full_vector': ['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 18945505609.283928, 'humanitarian_costs': 143458110912680.5, 'total_costs': 143477056418289.78, 'num_cases': 8702828, 'num_deaths': 934851, 'd_costs': 143409436598229.9, 'h_costs': 19820069215.941177, 'mh_costs': 28854245234.658897, 'full_vector': ['No_Measure', 'No_Measure', 'No_Measure']}]"
2,2020-04-15 to 2020-05-15,Lockdown,Lock,Lockdown,Lock,2501210645761.27,2501210645761.27,0.0,,"[{'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 76506387237.4606, 'humanitarian_costs': 2424704258523.8096, 'total_costs': 2501210645761.27, 'num_cases': 136961, 'num_deaths': 15689, 'd_costs': 2406755192847.551, 'h_costs': 292121784.0, 'mh_costs': 17656943892.258896, 'full_vector': ['Lockdown', 'Lockdown', 'Lockdown']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+Oth', 'economic_costs': 64513792100.19711, 'humanitarian_costs': 4522148813623.226, 'total_costs': 4586662605723.423, 'num_cases': 295740, 'num_deaths': 29359, 'd_costs': 4503761039670.324, 'h_costs': 523274151.84313726, 'mh_costs': 17864499801.0589, 'full_vector': ['Lockdown', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 61029930137.35042, 'humanitarian_costs': 6455857754250.859, 'total_costs': 6516887684388.21, 'num_cases': 450903, 'num_deaths': 41962, 'd_costs': 6437066430328.475, 'h_costs': 723995047.7254902, 'mh_costs': 18067328874.658897, 'full_vector': ['Lockdown', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'Sch+MG+Oth', 'economic_costs': 48002312804.95329, 'humanitarian_costs': 50287470966476.23, 'total_costs': 50335473279281.18, 'num_cases': 4026530, 'num_deaths': 327631, 'd_costs': 50259682025956.695, 'h_costs': 5047552030.470589, 'mh_costs': 22741388489.0589, 'full_vector': ['Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 45788702209.55597, 'humanitarian_costs': 70444516480122.73, 'total_costs': 70490305182332.3, 'num_cases': 5452319, 'num_deaths': 459003, 'd_costs': 70412693377499.75, 'h_costs': 7217922753.117647, 'mh_costs': 24605179869.8589, 'full_vector': ['Lockdown', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 40907799203.65245, 'humanitarian_costs': 97600083743837.33, 'total_costs': 97640991543040.98, 'num_cases': 7122419, 'num_deaths': 635988, 'd_costs': 97562759299582.94, 'h_costs': 10536109664.529411, 'mh_costs': 26788334589.8589, 'full_vector': ['Lockdown', 'No_Measure', 'No_Measure']}]"
3,2020-05-15 to 2020-06-15,Restrict_Mass_Gatherings_and_Schools_and_Others,MG+Sch+Oth,Lockdown,Lock,2501210645761.27,2694955298237.729,193744652476.45898,7.189160154276083,"[{'npi': 'Lockdown', 'npi_short': 'Lock', 'economic_costs': 76506387237.4606, 'humanitarian_costs': 2424704258523.8096, 'total_costs': 2501210645761.27, 'num_cases': 136961, 'num_deaths': 15689, 'd_costs': 2406755192847.551, 'h_costs': 292121784.0, 'mh_costs': 17656943892.258896, 'full_vector': ['Lockdown', 'Lockdown', 'Lockdown']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'npi_short': 'MG+Sch+Oth', 'economic_costs': 70375351437.59778, 'humanitarian_costs': 2624579946800.1313, 'total_costs': 2694955298237.729, 'num_cases': 154457, 'num_deaths': 16992, 'd_costs': 2606589719794.2803, 'h_costs': 310412342.39215684, 'mh_costs': 17679814663.458897, 'full_vector': ['Lockdown', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools_and_Others']}, {'npi': 'Restrict_Mass_Gatherings_and_Schools', 'npi_short': 'MG+Sch', 'economic_costs': 68486167015.89319, 'humanitarian_costs': 2732497137232.533, 'total_costs': 2800983304248.4263, 'num_cases': 164396, 'num_deaths': 17695, 'd_costs': 2714484358653.9214, 'h_costs': 319971654.3529412, 'mh_costs': 17692806924.258896, 'full_vector': ['Lockdown', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools']}, {'npi': 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'npi_short': 'Sch+MG+Oth', 'economic_costs': 58314496251.02799, 'humanitarian_costs': 3766810868866.0737, 'total_costs': 3825125365117.1016, 'num_cases': 271930, 'num_deaths': 24436, 'd_costs': 3748572779388.8384, 'h_costs': 404714108.17647064, 'mh_costs': 17833375369.0589, 'full_vector': ['Lockdown', 'Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']}, {'npi': 'Restrict_Mass_Gatherings', 'npi_short': 'MG', 'economic_costs': 55767733319.66476, 'humanitarian_costs': 4226803634273.5166, 'total_costs': 4282571367593.181, 'num_cases': 323364, 'num_deaths': 27434, 'd_costs': 4208461982232.442, 'h_costs': 441042147.2156863, 'mh_costs': 17900609893.8589, 'full_vector': ['Lockdown', 'Lockdown', 'Restrict_Mass_Gatherings']}, {'npi': 'No_Measure', 'npi_short': 'None', 'economic_costs': 51825648301.12023, 'humanitarian_costs': 5512207083173.109, 'total_costs': 5564032731474.2295, 'num_cases': 468622, 'num_deaths': 35811, 'd_costs': 5493574067745.219, 'h_costs': 542524276.4313726, 'mh_costs': 18090491151.458897, 'full_vector': ['Lockdown', 'Lockdown', 'No_Measure']}]"
